	strain	date	accession	authors	institution	focus_areas
6028	MPXV/Germany/2022/ON/RKI812	2022-07-XX	OQ773431	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6029	Monkeypox/PT0372/2022	2022-07-05	OP555468	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6030	MpxV/human/USA/WA-UW-072839/2022	2022-07-XX	OP169346	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
6031	MPXV/Germany/2022/ON/RKI776	2022-07-XX	OR463718	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6032	37_A	2022-08-16	OR264401	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
6033	PrEV_case_2	2022-10-02	OP727822	Berens-Riha et al.	Institute of Tropica Medicine, Department of Clinical Sciences	Global
6034	Z22IRL00165	2022-06-23	OR146296	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
6035	NY-NYCPHL-000827	2022-07-XX	OQ565461	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6036	hMpxV/USA/CA-CDPH-1M1000490/2023	2023-12-12	PQ160002	Kath et al.	CDPH, VRDL	Other California
6037	MPXV/Germany/2022/RKI590	2022-06-XX	OP837352	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6038	ANT-LDSP-ANT-MPX-23106-L	2022-08-22	OP477448	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
6039	Z22IRL00576	2022-08-31	OR146422	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
6040	Monkeypox/PT0322/2022	2022-06-06	OP414354	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6041	MPXV/Human/USA/CA-LACPHL-MA00537/2023	2023-07-06	OR499993	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
6042	WA-UW-359556	2024-09-23	PQ468036	Roychoudhury et al.	University of Washington, Laboratory Medicine and Pathology	North America
6043	NY-NYCPHL-000085	2022-06-XX	OQ504392	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6044	MPXV/Germany/2022/ON/RKI968	2022-06-XX	OR449682	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6045	MPXV/Germany/2024/ON/RKI1167	2024-11-XX	PQ662926	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6046	hMpxV/USA/IL-RIPHL-MPXV-050-0084/2023	2023-07-12	OR473616	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
6047	NY-NYCPHL-000196	2022-06-XX	OQ469166	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6048	hMpxV/USA/CA-CDPH-1M1000483/2023	2023-12-08	PQ159995	Kath et al.	CDPH, VRDL	Other California
6049	NY-NYCPHL-000136	2022-06-XX	OQ504402	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6050	MpxV/human/USA/WA-UW-087572/2022	2022-08-XX	OP628476	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
6051	MPX/Human/USA/CA-LACPHL-MA00148/2022	2022-09-12	OP539933	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6052	46_B	2022-07-13	OR264422	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
6053	MPXV_USA_2022_KS0007	2022-11-XX	OR464216	Gigante et al.	CDC, DHCPP-PRB	North America
6054	MPXV/UZ_REGA_170/Belgium/2022	2022-07-27	OR086979	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
6055	MPXV/Germany/2023/ON/RKI1047	2023-11-XX	PP093700	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6056	hMpxV/USA/CA-CDPH-1MPX1000144/2022	2022-06-25	OQ348891	Probert et al.	CDPH, VRDL	Other California
6057	MN-MDH-MPXV_0004	2022-06-27	OP597778	Plumb et al.	Minnesota Department of Health	North America
6058	3_A	2022-07-29	OR264410	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
6059	MPX/PT0056/2022	2022-07-29	OP245312	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6060	hMpxV/Netherlands/NH-AUMC-0060/2022	2022-08-05	OP341487	Welkers et al.	Amsterdam Medical Centres location AMC, Medical Microbiology & Infection Prevention	Global
6061	Monkeypox virus/Human/USA/CA-LACPHL-MA00232/2022	2022-07-15	OP680510	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6062	MPXV-USA-IL-IDPH-051	2022-06-24	OP536712	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
6063	MPXV-USA-IL-IDPH-017	2022-07-06	OP536678	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
6064	9000419	2022-08-XX	OP536793	Groves et al.	UKHSA, Research and Evaluation	Global
6065	MPXV/human/Taiwan/109-005210/2023	2023-02-XX	OQ581854	Lin et al.	Centers for Disease Control, Taiwan, Center of Diagnostics and Vaccine Development	Global
6066	MPXV/Germany/2022/RKI019	2022-05-XX	ON694330	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
6067	324	2023-02-XX	PQ566602	Beligni et al.	University of Siena, Medical Biotechnology Department	Global
6068	ANT-LDSP-ANT-MPX-24713-L	2022-09-08	OP642379	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
6069	hMPXV/Australia/VIC-5973/2024	2024-07-12	PQ153207	Edenborough et al.	Melbourne Health, VIDRL	Global
6070	hMPX/Human/USA/CA-LACPHL-MA00042/2022	2022-07-28	OP440535	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6071	MPXV/UZ_REGA_152/Belgium/2022	2022-07-15	OR086961	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
6072	MpxV/human/USA/OH-UW-089384/2022	2022-08-XX	OP392534	Sereewit et al.	UW Virology, Laboratory Medicine	North America
6073	NY-NYCPHL-001032	2022-07-XX	OQ468563	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6074	MPXV/Germany/2023/ON/RKI1073	2023-12-XX	PP093726	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6075	MPXV/Germany/2022/RKI550	2022-06-XX	OP715830	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6076	MPX/PT0126/2022	2022-07-14	OP245359	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6077	MPXV_USA_2022_CA0017	2022-10-XX	OQ427134	Gigante et al.	CDC, DHCPP-PRB	North America
6078	MPXV_USA_2022_OR0005	2022-07-XX	OP752116	Gigante et al.	CDC, DHCPP-PRB	North America
6079	MPXV/Germany/2022/ON/RKI643	2022-08-XX	OQ159038	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6080	MPXV_USA_2022_NE0001	2022-06-XX	OP303791	Gigante et al.	CDC, DHCPP-PRB	North America
6081	hMpxV/Canada/ON-PHOL058/2022	2022-08-01	OR759150	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
6082	MPXV_USA_2022_GA0024	2022-09-XX	OQ320517	Gigante et al.	CDC, DHCPP-PRB	North America
6083	MPXV_USA_2024_LA0017a	2024-01-XX	PQ451840	Gigante et al.	CDC, DHCPP-PRB	North America
6084	MPXV_USA_2022_TX0044	2022-10-XX	OQ427125	Gigante et al.	CDC, DHCPP-PRB	North America
6085	NY-NYCPHL-000723	2022-07-XX	OQ468765	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6086	MPXV_USA_2022_NC0007	2022-07-XX	OP604523	Gigante et al.	CDC, DHCPP-PRB	North America
6087	hMpxV/USA/CA-CDPH-1MPX1000097/2022	2022-07-12	OQ348846	Probert et al.	CDPH, VRDL	Other California
6088	NY-NYCPHL-000161	2022-06-XX	OQ469159	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6089	hMpxV/USA/CA-CDPH-11000310/2022	2022-06-21	PQ336093	Kath et al.	CDPH, VRDL	Other California
6090	MPX_oJ2Z6R_9000271	2022-08-XX	OP415237	Groves et al.	UKHSA, Research and Evaluation	Global
6091	MPXV/PT0774/2023	2023-10-18	PP025017	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6092	MPXV_USA_2022_MA0066	2022-XX-XX	OP890424	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
6093	MPXV_USA_2022_CA006	2022-06-XX	OP150924	Gigante et al.	CDC, DHCPP-PRB	North America
6094	MPXV_USA_2022_NC0011	2022-09-XX	OQ054226	Gigante et al.	CDC, DHCPP-PRB	North America
6095	MPXV_USA_2022_MN0006	2022-07-XX	OP451003	Gigante et al.	CDC, DHCPP-PRB	North America
6096	B1118385	2022-08-30	OP751213	Bajwa et al.	Delaware Public Health Lab, Sequencing/Bioinformatics	North America
6097	ATL-UNIMOL-MPX-292896-L	2022-08-13	OP390177	Loyola et al.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	Global
6098	Monkeypox/PT0331/2022	2022-05-28	OP414362	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6099	MPXV/Germany/2022/ON/RKI749	2022-10-XX	OQ547776	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6100	9000220_NCPV_1703	2022-05-14	OP394229	Burton et al.	UKHSA, Research and Evaluation	Global
6101	MPXV/Human/USA/CA-LACPHL-MA00549/2023	2023-07-26	OR500005	Garrigues et al.	Los Angeles County Public Health Laboratories	Los Angeles County
6102	MPXV/Germany/2022/RKI341	2022-09-XX	OP484664	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6103	MPXV/Germany/2022/ON/RKI916	2022-06-XX	OR449630	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6104	NY-NYCPHL-000337	2022-08-XX	OQ419008	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6105	Monkeypox/PT0578/2022	2022-09-12	OP555649	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6106	32_A	2022-08-24	OR264393	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
6107	NY-NYCPHL-000261	2022-08-XX	OQ469184	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6108	MPXV/Germany/2022/ON/RKI665	2022-05-XX	OQ274884	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6109	MPXV/Germany/2022/RKI172	2022-07-XX	OP018597	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6110	MPXV/Germany/2022/RKI174	2022-07-XX	OP018599	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6111	MPXV_USA_2022_NY0035	2022-07-XX	OP752113	Gigante et al.	CDC, DHCPP-PRB	New York City
6112	Monkeypox/PT0406/2022	2022-07-20	OP555501	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6113	MpxV/human/CAN/UN-NML-3467/2022	2022-06-02	ON880515	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
6114	NY-NYCPHL-000317	2022-08-XX	OQ468479	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6115	MPXV/PT0798/2023	2023-11-16	PP025033	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6116	Monkeypox/PT0248/2022	2022-06-20	OP414289	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6117	MpxV/human/USA/WA-UW-094603/2022	2022-09-XX	OP743993	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
6118	MpxV/human/CAN/UN-NML-3595/2022	2022-06-08	OP013009	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
6119	MPXV/Germany/2022/ON/RKI792	2022-07-XX	OR463721	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6120	Monkeypox/PT0013/2022	2022-05-20	ON649723	Isidro et al.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal	Global
6121	hMpxV/USA/CA-CDPH-1M1000539/2023	2023-11-02	PQ160018	Kath et al.	CDPH, VRDL	Other California
6122	MPXV/PT0820/2024	2024-02-15	PP481198	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6123	9000327	2022-08-XX	OP413715	Groves et al.	UKHSA, Research and Evaluation	Global
6124	MPX_WOcPOH_9000297	2022-08-XX	OP415252	Groves et al.	UKHSA, Research and Evaluation	Global
6125	MPXV/UZ_REGA_68	2022-06-30	OR035674	Wawina-Bokalanga et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
6126	MPXV_UK_2022_3	2022-05-XX	ON619837	Groves et al.	Research & Evaluation, UKHSA, UK	Global
6127	MPXV/Germany/2022/ON/RKI619	2022-08-XX	OP894039	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6128	MPXV/Germany/2022/RKI711	2022-08-XX	OQ451896	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6129	Monkeypox/PT0314/2022	2022-06-05	OP414347	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6130	MPXV22/human/USA-NE-127	2022-08-07	OP431825	Tegomoh et al.	University of Nebraska Medical Center, Environmental, Agricultural, and Occupational Health	North America
6131	hMpxV/USA/CA-CDPH-1MPX1000264/2022	2022-06-30	PQ781675	Kath et al.	CDPH, VRDL	Other California
6132	hMPX/Human/USA/CA-LACPHL-MA00036/2022	2022-07-25	OP440557	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6133	VSP213	2023-05-16	PP852970	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
6134	MPX/Human/USA/CA-LACPHL-MA00143/2022	2022-08-24	OP539928	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
6135	NY-NYCPHL-0001371	2024-07-XX	PQ520550	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6136	NY-NYCPHL-001001	2022-07-XX	OQ468553	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6137	SDM10	2023-XX-XX	PP977061	Thomas et al.	Yale School of Public Health, Epidemiology of Microbial Diseases	North America
6138	MPXV/Germany/2025/ON/RKI1223	2025-01-XX	PV173521	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6139	NY-NYCPHL-001249	2023-11-XX	PP533343	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6140	NY-NYCPHL-000609	2022-08-XX	OQ419046	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6141	MPXV/Germany/2022/RKI096	2022-06-XX	ON853675	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6142	TRM336	2022-09-23	PP853030	Parker et al.	University of Edinburgh, Institute of Ecology and Evolution	Global
6143	hMpxV/USA/IL-RIPHL-MPXV-052-0034/2023	2023-05-10	OR160418	Green et al.	Rush University Meical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
6144	hMPXV/Australia/VIC-4069/2024	2024-05-27	PQ153154	Edenborough et al.	Melbourne Health, VIDRL	Global
6145	MPXV_USA_2022_AZ0004	2022-07-XX	OP687926	Gigante et al.	CDC, DHCPP-PRB	North America
6146	MPX_luLfgA_9000208	2022-07-XX	OP415189	Groves et al.	UKHSA, Research and Evaluation	Global
6147	NY-NYCPHL-000507	2022-07-XX	OQ504450	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6148	MPXV/UZ_REGA_192/Belgium/2022	2022-08-03	OR087001	Vanmechelen et al.	KU Leuven, Microbiology, Immunology and Transplantation	Global
6149	hMPXV/P4/2022	2022-06-06	PV034559	Mistral De Pascali et al.	Alma Mater Studiorum - University of Bologna, Department of Medical and Surgical Sciences (DIMEC)	Global
6150	hMpxV/USA/CA-CDPH-1MPX1000280/2022	2022-06-07	PQ781691	Kath et al.	CDPH, VRDL	Other California
6151	MPXV/Germany/2022/RKI527	2022-06-XX	OP689680	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6152	MPXV/PT0775/2023	2023-10-19	PP025018	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
6153	MPXV-ROK-P53/20-2023	2023-09-15	OR855763	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
6154	MPXV_USA_2022_WA0011	2022-07-XX	OP752123	Gigante et al.	CDC, DHCPP-PRB	North America
6155	MPXV/Germany/2022/RKI714	2022-09-XX	OQ451899	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6156	MpxV/human/USA/WA-UW-086115/2022	2022-08-XX	OP628467	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
6157	MPXV/Germany/2022/RKI139	2022-07-XX	ON959152	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
6158	NY-NYCPHL-000465	2022-07-XX	OQ468885	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6159	NY-NYCPHL-000700	2022-07-XX	OQ419067	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
6160	hMpxV/USA/IL-RIPHL-050-0138/2024	2024-02-10	PP556320	Green et al.	Rush University Medical Center, Regional Innovative Public Health Laboratory (RIPHL)	Cook County
6161	8_A	2022-07-13	OR264461	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
